"Canton (-) / District (>>) / Commune (......)","Date et objet","Bulletins valables","Oui","Oui en %"
"Suisse","2016-02-28 Initiative populaire «Pas de spéculation sur les denrées alimentaires»",3213723,1287786,40.07
"Suisse","2016-02-28 Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»",3342063,1375098,41.15
"Suisse","2016-02-28 Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»",3273376,1609152,49.16
"Suisse","2015-06-14 Loi fédérale sur la radio et la télévision",2253395,1128522,50.08
"Suisse","2015-06-14 Initiative populaire «Imposer les successions de plusieurs millions pour financer notre AVS (Réforme de la fiscalité successorale)»",2271833,657851,28.96
"Suisse","2015-06-14 Initiative populaire «Initiative sur les bourses d'études»",2222195,610284,27.46
"Suisse","2015-06-14 Arrêté fédéral concernant la modification de l'article constitutionnel relatif à la procréation médicalement assistée et au génie génétique dans le domaine humain",2224478,1377613,61.93
"Suisse","2015-03-08 Initiative populaire «Remplacer la taxe sur la valeur ajoutée par une taxe sur l'énergie»",2185731,175405,8.03
"Suisse","2015-03-08 Initiative populaire «Aider les familles! Pour des allocations pour enfant et des allocations de formation professionnelle exonérées de l'impôt»",2187904,537795,24.58
"Suisse","2014-11-30 Initiative populaire «Sauvez l'or de la Suisse (Initiative sur l'or)»",2554665,580528,22.72
"Suisse","2014-11-30 Initiative populaire «Halte à la surpopulation - Oui à la préservation durable des ressources naturelles»",2591553,671099,25.90
"Suisse","2014-11-30 Initiative populaire «Halte aux privilèges fiscaux des millionnaires (abolition des forfaits fiscaux)»",2581239,1053125,40.80
"Suisse","2014-09-28 Initiative populaire «Pour une caisse publique d'assurance-maladie»",2445048,933012,38.16
"Suisse","2014-09-28 Initiative populaire «Stop à la TVA discriminatoire pour la restauration!»",2403390,684563,28.48
"Suisse","2014-05-18 Loi fédérale sur le fonds d'acquisition de l'avion de combat Gripen",2888487,1345726,46.59
"Suisse","2014-05-18 Initiative populaire «Pour la protection de salaires équitables (Initiative sur les salaires minimums)»",2897763,687571,23.73
"Suisse","2014-05-18 Initiative populaire «Pour que les pédophiles ne travaillent plus avec des enfants»",2864526,1819822,63.53
"Suisse","2014-05-18 Arrêté fédéral concernant les soins médicaux de base (contre-projet direct à l'initiative populaire «Oui à la médecine de famille», qui a été retirée)",2817066,2480870,88.07
"Suisse","2014-02-09 Initiative populaire «Contre l'immigration de masse»",2908406,1463854,50.33
"Suisse","2014-02-09 Initiative populaire «Financer l'avortement est une affaire privée - Alléger l'assurance-maladie en radiant les coûts de l'interruption de grossesse de l'assurance de base»",2892609,873060,30.18
"Suisse","2014-02-09 Arrêté fédéral portant règlement du financement et de l'aménagement de l'infrastructure ferroviaire (contre-projet direct à l'initiative populaire «Pour les transports publics», qui a été retirée)",2865054,1776878,62.02
"Suisse","2013-11-24 Loi fédérale concernant la redevance pour l'utilisation des routes nationales",2750116,1087368,39.54
"Suisse","2013-11-24 Initiative populaire «Initiative pour les familles: déductions fiscales aussi pour les parents qui gardent eux-mêmes leurs enfants»",2744161,1139670,41.53
"Suisse","2013-11-24 Initiative populaire «1:12 - Pour des salaires équitables»",2751717,954787,34.70
"Suisse","2013-09-22 Loi sur le travail (libéralisation des heures d'ouverture des shops des stations-service)",2374036,1324528,55.79
"Suisse","2013-09-22 Loi fédérale sur la lutte contre les maladies transmissibles de l'homme (loi sur les épidémies)",2361128,1416741,60.00
"Suisse","2013-09-22 Initiative populaire «Oui à I'abrogation du service militaire obligatoire»",2407796,644985,26.79
"Suisse","2013-06-09 Loi sur l'asile (LAsi) (Modifications urgentes de la loi sur l'asile)",2005181,1573007,78.45
"Suisse","2013-06-09 Initiative populaire «Élection du Conseil fédéral par le peuple»",2030371,480291,23.66
"Suisse","2013-03-03 Loi fédérale sur l'aménagement du territoire",2348456,1476942,62.89
"Suisse","2013-03-03 Initiative populaire «contre les rémunérations abusives»",2378159,1616184,67.96
"Suisse","2013-03-03 Arrêté fédéral sur la politique familiale",2362482,1283951,54.35
"Suisse","2012-11-25 Modification de la loi sur les épizooties (LFE)",1385704,946220,68.28
"Suisse","2012-09-23 Initiative populaire «Protection contre le tabagisme passif»",2179190,741205,34.01
"Suisse","2012-09-23 Initiative populaire «Sécurité du logement à la retraite»",2139511,1014016,47.39
"Suisse","2012-09-23 Arrêté fédéral sur la promotion de la formation musicale des jeunes",2135276,1552045,72.69
"Suisse","2012-06-17 Modification de la loi fédérale sur l'assurance-maladie (Réseaux de soins)",1949529,466862,23.95
"Suisse","2012-06-17 Initiative populaire «Pour le renforcement des droits populaires dans la politique étrangère (accords internationaux: la parole au peuple!)»",1942832,480173,24.72
"Suisse","2012-06-17 Initiative populaire «Accéder à la propriété grâce à l'épargne-logement»",1934288,601449,31.09
"Suisse","2012-03-11 Loi fédérale sur la réglementation du prix du livre",2200855,966633,43.92
